,playerID,FPCT,POS,G,SH,OBP,AB/G,HR/G,SB/G,RBI/G,IBB/G,SF/G,debut,finalGame,weight,servingDays,debutAge,inducted
4080,leonjo01,0.9929078014184397,1B,88,0.0,0.26244343891402716,2.375,0.056818181818181816,0.011363636363636364,0.20454545454545456,0.0,0.011363636363636364,2002-06-16,2004-09-26,175.0,833.0,26.473972602739725,N
4081,leonma01,0.9640909090909092,P,169,6.0,0.2545454545454545,0.3076923076923077,0.0,0.005917159763313609,0.029585798816568046,0.0,0.011834319526627219,1973-07-18,1978-09-10,145.0,1880.0,23.55890410958904,N
4082,lepcite01,0.9639120229746364,2B,729,14.0,0.31759656652360513,2.869684499314129,0.09465020576131687,0.015089163237311385,0.3443072702331962,0.009602194787379973,0.013717421124828532,1952-04-15,1961-09-11,177.0,3436.0,23.301369863013697,N
4083,leppedo01,0.9368421052631579,2B,40,1.0,0.2125,1.75,0.0,0.025,0.05,0.0,0.025,1955-04-11,1955-09-25,175.0,167.0,25.29041095890411,N
4084,leppedo02,0.9827327462490658,C,190,4.0,0.2891566265060241,2.8,0.07894736842105263,0.0,0.3105263157894737,0.02631578947368421,0.015789473684210527,1961-06-18,1964-09-16,220.0,1186.0,30.482191780821918,N
4085,lerchge01,1.0,OF,36,0.0,0.36065573770491804,1.3611111111111112,0.027777777777777776,0.027777777777777776,0.1388888888888889,0.0,0.0,1952-04-15,1953-09-13,175.0,516.0,30.306849315068494,N
4086,lerchra01,0.9750001300688896,P,262,12.0,0.2569444444444444,1.0190839694656488,0.015267175572519083,0.0,0.08778625954198473,0.0,0.007633587786259542,1975-09-14,1986-06-22,190.0,3934.0,21.715068493150685,N
4087,lerewan01,1.0,P,20,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2005-09-04,2010-07-20,225.0,1780.0,23.69041095890411,N
4088,lerscba01,0.9487267499853311,P,177,11.0,0.18493150684931506,0.751412429378531,0.0,0.0,0.01694915254237288,0.0,0.005649717514124294,1969-04-08,1974-09-21,175.0,1992.0,25.284931506849315,N
4089,leshebr01,0.8,1B,108,1.0,0.27526132404181186,2.435185185185185,0.08333333333333333,0.046296296296296294,0.35185185185185186,0.0,0.037037037037037035,1996-08-25,2002-09-28,205.0,2225.0,25.665753424657535,N
4090,leskacu01,0.9642729065805989,P,603,5.0,0.2,0.06467661691542288,0.001658374792703151,0.0,0.011608623548922056,0.0,0.0,1993-06-27,2004-10-02,180.0,4115.0,25.504109589041096,N
4091,leslebr01,0.9583333333333334,P,54,1.0,0.3333333333333333,0.05555555555555555,0.0,0.0,0.018518518518518517,0.0,0.0,1982-07-31,1985-10-04,230.0,1161.0,24.594520547945205,N
