,playerID,ERA,WHIP,W-L,G,debut,finalGame,weight,servingDays,debutAge,inducted
2004,langch01,7.495000000000001,1.484375,0.25,30,1975-09-08,1976-10-03,205.0,391.0,23.7013698630137,N
2005,langedi01,4.5375000000000005,1.5253623188405798,0.375,78,1972-09-09,1975-09-23,185.0,1109.0,24.706849315068492,N
2006,langfri01,5.434545454545455,1.3319919517102616,0.40782122905027934,265,1976-06-13,1986-07-13,180.0,3682.0,24.465753424657535,N
2007,langsma01,4.247058823529412,1.3541854185418543,0.5311572700296736,459,1984-04-07,1999-09-24,177.0,5648.0,24.28219178082192,N
2008,lankffr01,5.95,1.5254237288135593,0.0,12,1998-03-31,1998-05-13,190.0,43.0,27.263013698630136,N
2009,lapalpa01,12.716666666666665,1.4878312601406165,0.34782608695652173,254,1951-05-28,1957-08-28,175.0,2284.0,28.421917808219177,N
2010,lapihan01,14.185,1.6521739130434783,0.0,4,1942-09-12,1943-05-05,175.0,235.0,20.70958904109589,N
2011,lapoida01,5.126,1.4508968609865471,0.4819277108433735,294,1980-09-10,1991-04-20,205.0,3874.0,21.706849315068492,N
2012,larkian01,6.420000000000001,2.0252365930599368,0.21428571428571427,39,1996-09-29,2000-09-10,175.0,1442.0,22.75890410958904,N
2013,larocda01,4.571333333333333,1.3132147395171536,0.5284552845528455,649,1970-05-11,1983-08-23,200.0,4852.0,22.372602739726027,N
2014,larsedo01,4.144705882352942,1.3998708010335916,0.47093023255813954,480,1953-04-18,1967-07-07,215.0,5193.0,24.30958904109589,N
2015,larsoda01,5.0128571428571425,1.4567010309278348,0.2857142857142857,80,1976-07-18,1982-06-01,175.0,2144.0,22.55890410958904,N
2016,laryal01,5.075,1.675,0.0,29,1954-09-06,1962-09-15,185.0,2931.0,26.698630136986303,N
2017,laryfr01,3.856666666666667,1.2666872205950364,0.5245901639344263,362,1954-09-14,1965-09-21,175.0,4025.0,24.71780821917808,N
2018,lashefr01,7.302857142857143,1.4306930693069306,0.4583333333333333,151,1963-04-12,1971-07-01,190.0,3002.0,22.29041095890411,N
2019,laskebi01,4.872857142857143,1.3336314847942754,0.4421052631578947,160,1982-04-23,1988-08-13,190.0,2304.0,25.323287671232876,N
2020,lasorto01,8.216666666666667,1.8685714285714288,0.0,27,1954-08-05,1956-07-08,175.0,703.0,27.610958904109587,N
2021,lathabi01,5.64,1.5,0.2,14,1985-04-15,1986-10-01,190.0,534.0,25.304109589041097,N
2022,latmaba01,3.965454545454546,1.3281378178835113,0.4645669291338583,344,1957-09-10,1967-08-12,210.0,3623.0,21.706849315068492,N
